"Município"	"População"	"IDHM...Educação"	"Escolaridade.Adulta"	"Frenquencia.Escolar"	"Alfabetização"	"Renda.per.Capita"	"Despesa.Educação"	"Matrículas"	"Docentes"	"IPDM...Educação"	"PIB"	"IDEB_Médio"	"Grau.Urbanização"
"145"	"Iguaraçu"	"4.012"	"0,732"	"0,58"	"0,82"	"90,40"	"678,32"	"2.058.815,32"	"974"	"64"	"0,7034"	"83.175,611"	4.95	"89,38"
"146"	"Iguatu"	"2.233"	"0,637"	"0,41"	"0,79"	"87,98"	"523,94"	"1.216.161,14"	"553"	"32"	"0,8139"	"39.311,263"	5.3	"64,37"
"147"	"Imbaú"	"11.413"	"0,481"	"0,29"	"0,61"	"83,65"	"418,52"	"4.416.155,78"	"3.062"	"120"	"0,3801"	"113.419,527"	4	"62,62"
"148"	"Imbituva"	"28.759"	"0,509"	"0,32"	"0,63"	"94,16"	"553,65"	"8.362.917,02"	"7.301"	"266"	"0,5780"	"350.542,868"	4.6	"62,86"
"149"	"Inácio Martins"	"10.942"	"0,454"	"0,29"	"0,56"	"89,11"	"385,92"	"4.099.472,09"	"3.245"	"129"	"0,4019"	"94.409,276"	3.8	"57,46"
"150"	"Inajá"	"2.994"	"0,641"	"0,43"	"0,78"	"85,68"	"538,69"	"1.530.488,43"	"853"	"41"	"0,6965"	"30.313,896"	5.2	"92,40"
"151"	"Indianópolis"	"4.306"	"0,642"	"0,45"	"0,76"	"89,77"	"652,36"	"2.131.796,32"	"1.003"	"61"	"0,8289"	"116.519,671"	5.35	"73,20"
"152"	"Ipiranga"	"14.215"	"0,489"	"0,31"	"0,61"	"92,38"	"564,83"	"6.099.500,27"	"3.592"	"163"	"0,5831"	"240.239,001"	4.75	"34,55"
"153"	"Iporã"	"14.869"	"0,611"	"0,40"	"0,75"	"87,89"	"608,93"	"4.534.297,81"	"3.592"	"179"	"0,6655"	"172.945,434"	4.75	"78,61"
"154"	"Iracema do Oeste"	"2.550"	"0,630"	"0,39"	"0,79"	"83,89"	"524,51"	"1.196.694,07"	"607"	"51"	"0,6598"	"37.316,051"	5.05	"77,66"
"155"	"Irati"	"56.503"	"0,640"	"0,47"	"0,74"	"95,44"	"685,81"	"15.749.036,28"	"14.354"	"676"	"0,6687"	"785.302,463"	5.05	"79,94"
"156"	"Iretama"	"10.568"	"0,521"	"0,31"	"0,67"	"83,21"	"608,11"	"4.232.042,45"	"2.993"	"139"	"0,5670"	"96.855,682"	3.9	"58,25"
"157"	"Itaguajé"	"4.553"	"0,664"	"0,47"	"0,78"	"88,58"	"523,98"	"1.598.035,29"	"1.258"	"59"	"0,5190"	"44.444,140"	3.8	"79,60"
"158"	"Itaipulândia"	"9.195"	"0,608"	"0,46"	"0,69"	"92,31"	"1.019,87"	"9.095.356,54"	"2.554"	"127"	"0,7207"	"135.588,287"	5.3	"52,53"
"159"	"Itambaracá"	"6.734"	"0,639"	"0,45"	"0,76"	"84,54"	"499,63"	"3.535.482,45"	"1.894"	"110"	"0,7213"	"72.056,695"	4.25	"75,16"
"160"	"Itambé"	"5.981"	"0,703"	"0,53"	"0,80"	"88,26"	"588,49"	"2.435.431,52"	"1.421"	"65"	"0,8174"	"83.081,985"	5.15	"94,90"
"161"	"Itapejara d'Oeste"	"10.637"	"0,661"	"0,43"	"0,81"	"92,68"	"674,12"	"3.803.252,17"	"2.355"	"105"	"0,5852"	"160.129,127"	5.3	"66,35"
"162"	"Itaperuçu"	"24.236"	"0,507"	"0,36"	"0,59"	"89,22"	"468,04"	"7.169.946,53"	"5.950"	"228"	"0,2286"	"284.594,823"	3.65	"83,54"
"163"	"Itaúna do Sul"	"3.517"	"0,543"	"0,37"	"0,65"	"80,72"	"460,51"	"1.641.800,58"	"979"	"44"	"0,6586"	"30.755,565"	3.9	"71,14"
"164"	"Ivaí"	"12.886"	"0,534"	"0,34"	"0,66"	"91,69"	"469,13"	"4.206.264,87"	"3.140"	"134"	"0,5754"	"198.693,727"	5.2	"36,12"
"165"	"Ivaiporã"	"31.782"	"0,661"	"0,48"	"0,77"	"88,46"	"666,73"	"7.369.920,95"	"9.069"	"519"	"0,7229"	"359.655,044"	5.1	"86,24"
"166"	"Ivaté"	"7.560"	"0,641"	"0,48"	"0,73"	"89,77"	"563,82"	"3.231.068,26"	"1.869"	"95"	"0,6014"	"102.906,374"	5.4	"69,64"
"167"	"Ivatuba"	"3.027"	"0,748"	"0,55"	"0,86"	"92,98"	"699,09"	"1.102.551,67"	"1.140"	"73"	"0,9279"	"41.864,282"	4.8	"76,21"
"168"	"Jaboti"	"4.926"	"0,640"	"0,40"	"0,80"	"88,51"	"618,60"	"1.504.068,76"	"1.223"	"59"	"0,5862"	"39.389,136"	4.6	"61,75"
"169"	"Jacarezinho"	"39.083"	"0,663"	"0,57"	"0,71"	"90,96"	"770,55"	"14.625.600,50"	"11.718"	"506"	"0,5138"	"541.342,230"	4.65	"88,89"
"170"	"Jaguapitã"	"12.325"	"0,615"	"0,42"	"0,73"	"89,19"	"681,75"	"6.903.074,37"	"2.906"	"121"	"0,6556"	"316.109,410"	4.3	"84,91"
"171"	"Jaguariaíva"	"32.747"	"0,684"	"0,52"	"0,78"	"93,10"	"616,79"	"10.343.695,87"	"9.287"	"424"	"0,5944"	"703.645,817"	4.5	"86,00"
"172"	"Jandaia do Sul"	"20.315"	"0,703"	"0,54"	"0,79"	"92,67"	"803,28"	"5.554.330,10"	"5.164"	"293"	"0,7880"	"359.274,809"	4.8	"90,44"
"173"	"Janiópolis"	"6.413"	"0,593"	"0,37"	"0,74"	"82,34"	"577,55"	"2.329.602,32"	"1.621"	"84"	"0,6850"	"81.444,006"	4.65	"61,82"
"174"	"Japira"	"4.904"	"0,603"	"0,41"	"0,73"	"89,01"	"534,19"	"1.761.878,08"	"1.078"	"66"	"0,5529"	"49.774,226"	4.35	"55,74"
"175"	"Japurá"	"8.610"	"0,623"	"0,39"	"0,78"	"91,16"	"615,19"	"2.406.597,32"	"1.743"	"85"	"0,8259"	"90.755,347"	5.4	"89,12"
"176"	"Jardim Alegre"	"12.221"	"0,569"	"0,36"	"0,71"	"84,88"	"608,16"	"4.050.624,30"	"3.128"	"186"	"0,6230"	"108.288,919"	4.55	"58,19"
"177"	"Jardim Olinda"	"1.401"	"0,600"	"0,39"	"0,74"	"87,59"	"515,05"	"1.361.072,83"	"418"	"30"	"0,6759"	"21.546,205"	4.6	"71,04"
"178"	"Jataizinho"	"11.918"	"0,574"	"0,42"	"0,67"	"89,66"	"514,94"	"4.202.059,52"	"3.337"	"157"	"0,5812"	"114.566,590"	4	"93,08"
"179"	"Jesuítas"	"8.938"	"0,615"	"0,38"	"0,78"	"89,78"	"551,65"	"2.656.228,87"	"1.816"	"131"	"0,7304"	"129.501,382"	5.05	"67,44"
"180"	"Joaquim Távora"	"10.819"	"0,613"	"0,47"	"0,69"	"91,92"	"618,36"	"3.663.734,76"	"2.647"	"132"	"0,7480"	"200.959,047"	6.15	"76,56"
"181"	"Jundiaí do Sul"	"3.416"	"0,605"	"0,35"	"0,78"	"85,49"	"485,95"	"1.410.884,14"	"893"	"52"	"0,6628"	"40.461,179"	4.75	"57,56"
"182"	"Juranda"	"7.604"	"0,639"	"0,42"	"0,77"	"87,76"	"544,87"	"5.227.483,51"	"2.002"	"104"	"0,6309"	"146.631,203"	4.5	"76,42"
"183"	"Jussara"	"6.634"	"0,619"	"0,41"	"0,75"	"92,95"	"688,10"	"2.640.168,80"	"1.490"	"86"	"0,7626"	"90.765,053"	4.8	"89,62"
"184"	"Kaloré"	"4.465"	"0,657"	"0,44"	"0,79"	"88,55"	"528,02"	"1.722.006,04"	"897"	"80"	"0,7945"	"45.320,343"	5.1	"71,42"
"185"	"Lapa"	"45.137"	"0,595"	"0,44"	"0,68"	"94,33"	"608,60"	"17.730.845,09"	"10.928"	"429"	"0,5949"	"755.219,864"	4.9	"60,58"
"186"	"Laranjal"	"6.308"	"0,436"	"0,26"	"0,56"	"82,19"	"297,34"	"3.235.228,09"	"2.016"	"82"	"0,3564"	"40.099,571"	3.8	"31,93"
"187"	"Laranjeiras do Sul"	"30.835"	"0,594"	"0,43"	"0,69"	"91,53"	"659,33"	"9.223.928,58"	"9.423"	"440"	"0,7032"	"293.245,656"	5.2	"81,33"
"188"	"Leópolis"	"4.123"	"0,663"	"0,47"	"0,78"	"88,48"	"477,23"	"2.410.018,95"	"1.014"	"82"	"0,4818"	"61.657,543"	4.25	"57,93"
"189"	"Lidianópolis"	"3.911"	"0,598"	"0,38"	"0,74"	"82,19"	"477,52"	"1.417.029,04"	"904"	"59"	"0,7293"	"36.161,480"	4.35	"51,50"
"190"	"Lindoeste"	"5.295"	"0,588"	"0,43"	"0,68"	"86,35"	"462,44"	"1.998.870,90"	"1.416"	"71"	"0,6194"	"81.329,950"	4.7	"44,47"
"191"	"Loanda"	"21.328"	"0,645"	"0,49"	"0,73"	"91,76"	"725,67"	"6.799.767,06"	"5.234"	"251"	"0,7291"	"225.062,889"	4.85	"90,91"
"192"	"Lobato"	"4.427"	"0,692"	"0,54"	"0,78"	"88,99"	"653,70"	"2.040.124,20"	"1.059"	"48"	"0,9143"	"101.348,174"	5.05	"93,27"
"193"	"Londrina"	"511.279"	"0,712"	"0,64"	"0,74"	"95,48"	"1.083,35"	"138.723.583,98"	"117.935"	"5.526"	"0,7334"	"10.822.983,207"	4.75	"97,40"
"194"	"Luiziana"	"7.298"	"0,580"	"0,39"	"0,70"	"85,37"	"482,03"	"3.242.196,80"	"1.711"	"69"	"0,4326"	"130.020,303"	4.05	"65,02"
"195"	"Lunardelli"	"5.122"	"0,607"	"0,37"	"0,77"	"83,77"	"471,99"	"2.304.076,52"	"1.336"	"69"	"0,6041"	"43.656,075"	4.55	"69,65"
"196"	"Lupionópolis"	"4.613"	"0,595"	"0,43"	"0,69"	"88,98"	"636,69"	"4.849.160,42"	"1.152"	"54"	"0,5257"	"43.303,324"	4.4	"88,83"
"197"	"Mallet"	"13.002"	"0,645"	"0,43"	"0,78"	"96,73"	"552,86"	"4.588.674,72"	"2.923"	"152"	"0,7079"	"255.465,646"	5.2	"58,35"
"198"	"Mamborê"	"13.870"	"0,649"	"0,46"	"0,76"	"89,00"	"616,46"	"4.727.695,04"	"3.474"	"149"	"0,6957"	"256.087,828"	4.55	"64,35"
"199"	"Mandaguaçu"	"20.008"	"0,625"	"0,49"	"0,70"	"91,17"	"693,16"	"5.727.792,25"	"5.080"	"207"	"0,6594"	"238.054,402"	4.4	"88,90"
"200"	"Mandaguari"	"32.755"	"0,689"	"0,52"	"0,79"	"92,68"	"762,54"	"9.919.276,56"	"8.759"	"360"	"0,7882"	"546.369,993"	5.1	"94,72"
"201"	"Mandirituba"	"22.580"	"0,515"	"0,36"	"0,61"	"93,37"	"539,68"	"8.059.651,86"	"6.137"	"267"	"0,4810"	"353.924,768"	4.15	"33,37"
"202"	"Manfrinópolis"	"3.076"	"0,520"	"0,28"	"0,70"	"85,40"	"435,85"	"1.922.906,69"	"859"	"61"	"0,6328"	"32.165,694"	5.05	"20,85"
"203"	"Mangueirinha"	"16.994"	"0,579"	"0,43"	"0,66"	"90,53"	"605,97"	"10.251.948,10"	"4.645"	"235"	"0,4610"	"710.548,329"	4.6	"49,24"
"204"	"Manoel Ribas"	"13.177"	"0,628"	"0,43"	"0,75"	"86,34"	"729,51"	"4.271.169,53"	"3.487"	"210"	"0,6189"	"145.129,729"	5	"51,67"
"205"	"Marechal Cândido Rondon"	"47.266"	"0,704"	"0,56"	"0,78"	"96,16"	"1.036,38"	"13.715.394,84"	"11.117"	"562"	"0,7554"	"983.588,988"	5	"83,61"
"206"	"Maria Helena"	"5.924"	"0,607"	"0,38"	"0,76"	"85,66"	"552,13"	"2.077.112,68"	"1.383"	"75"	"0,6613"	"43.836,401"	4	"67,06"
"207"	"Marialva"	"32.209"	"0,666"	"0,52"	"0,74"	"93,17"	"765,58"	"7.999.880,32"	"7.451"	"381"	"0,6831"	"473.453,439"	4.95	"80,70"
"208"	"Marilândia do Sul"	"8.848"	"0,599"	"0,39"	"0,74"	"89,53"	"497,15"	"3.349.889,54"	"2.197"	"117"	"0,7008"	"150.811,847"	4.7	"71,24"
"209"	"Marilena"	"6.866"	"0,585"	"0,36"	"0,73"	"87,23"	"461,09"	"2.851.021,07"	"1.713"	"88"	"0,8314"	"49.949,682"	5.15	"72,67"
"210"	"Mariluz"	"10.219"	"0,504"	"0,35"	"0,60"	"82,54"	"466,87"	"3.575.935,42"	"2.893"	"118"	"0,4507"	"87.827,169"	4.1	"82,81"
"211"	"Maringá"	"362.329"	"0,768"	"0,69"	"0,81"	"96,73"	"1.202,63"	"97.230.898,32"	"81.983"	"3.640"	"0,8022"	"8.554.967,510"	5.05	"98,20"
"212"	"Mariópolis"	"6.288"	"0,591"	"0,40"	"0,71"	"92,43"	"694,06"	"2.008.744,06"	"1.509"	"73"	"0,5759"	"104.118,217"	4.25	"71,30"
"213"	"Maripá"	"5.669"	"0,684"	"0,50"	"0,79"	"96,68"	"781,94"	"3.202.837,00"	"1.258"	"76"	"0,8805"	"153.456,060"	5.65	"57,39"
"214"	"Marmeleiro"	"13.919"	"0,613"	"0,42"	"0,74"	"91,63"	"751,42"	"5.235.707,81"	"3.400"	"169"	"0,6693"	"161.985,245"	5.85	"63,48"
"215"	"Marquinho"	"4.929"	"0,463"	"0,24"	"0,63"	"86,03"	"366,30"	"2.145.849,76"	"1.398"	"70"	"0,5409"	"38.354,121"	4.9	"10,52"
"216"	"Marumbi"	"4.603"	"0,643"	"0,46"	"0,75"	"87,02"	"642,72"	"1.575.276,61"	"1.108"	"74"	"0,6744"	"37.557,012"	4.25	"68,24"
"217"	"Matelândia"	"16.212"	"0,642"	"0,48"	"0,73"	"93,27"	"683,91"	"5.493.498,45"	"4.273"	"215"	"0,6356"	"255.255,318"	5.05	"72,23"
"218"	"Matinhos"	"29.831"	"0,662"	"0,55"	"0,72"	"95,77"	"814,03"	"13.244.711,86"	"8.160"	"307"	"0,6205"	"338.140,094"	4.45	"99,49"
"219"	"Mato Rico"	"3.766"	"0,536"	"0,31"	"0,70"	"81,91"	"296,21"	"1.872.823,78"	"1.118"	"58"	"0,4030"	"32.625,657"	4.05	"25,07"
"220"	"Mauá da Serra"	"8.715"	"0,529"	"0,38"	"0,62"	"86,97"	"487,69"	"4.795.161,67"	"2.474"	"109"	"0,5107"	"134.128,550"	4.2	"81,98"
"221"	"Medianeira"	"42.124"	"0,686"	"0,54"	"0,76"	"94,58"	"914,67"	"14.919.666,46"	"10.380"	"510"	"0,7613"	"750.258,391"	4.8	"89,41"
"222"	"Mercedes"	"5.080"	"0,680"	"0,45"	"0,83"	"95,72"	"657,38"	"3.069.105,75"	"1.289"	"71"	"0,8658"	"85.343,440"	5.55	"48,34"
"223"	"Mirador"	"2.314"	"0,599"	"0,43"	"0,70"	"85,68"	"474,75"	"1.302.689,66"	"571"	"38"	"0,7414"	"42.447,372"	3.8	"67,86"
"224"	"Miraselva"	"1.855"	"0,707"	"0,52"	"0,81"	"90,14"	"600,03"	"1.408.557,05"	"538"	"36"	"0,7577"	"21.080,165"	3.9	"76,80"
"225"	"Missal"	"10.478"	"0,608"	"0,42"	"0,73"	"94,40"	"678,96"	"4.684.147,18"	"2.564"	"142"	"0,7787"	"182.213,301"	5.35	"51,75"
"226"	"Moreira Sales"	"12.546"	"0,570"	"0,37"	"0,70"	"84,21"	"528,33"	"3.832.080,96"	"3.328"	"133"	"0,5943"	"121.907,628"	4.4	"78,80"
"227"	"Morretes"	"15.753"	"0,544"	"0,46"	"0,59"	"93,23"	"665,51"	"8.278.589,33"	"4.363"	"176"	"0,3408"	"143.849,454"	3.85	"45,67"
"228"	"Munhoz de Melo"	"3.693"	"0,634"	"0,44"	"0,75"	"89,29"	"637,77"	"1.543.648,16"	"912"	"56"	"0,7193"	"42.305,758"	4.75	"80,99"
"229"	"Nossa Senhora das Graças"	"3.929"	"0,631"	"0,43"	"0,75"	"87,55"	"547,55"	"2.512.579,28"	"864"	"42"	"0,6127"	"34.115,020"	4.1	"82,95"
"230"	"Nova Aliança do Ivaí"	"1.439"	"0,691"	"0,51"	"0,80"	"88,58"	"528,26"	"1.237.159,65"	"390"	"26"	"0,8794"	"20.064,865"	4.8	"72,75"
"231"	"Nova América da Colina"	"3.470"	"0,643"	"0,47"	"0,75"	"86,16"	"472,29"	"1.731.024,99"	"940"	"43"	"0,6799"	"42.206,811"	4.55	"72,57"
"232"	"Nova Aurora"	"11.730"	"0,642"	"0,48"	"0,74"	"94,99"	"734,83"	"3.892.528,81"	"2.969"	"165"	"0,7237"	"204.947,695"	4.85	"76,18"
"233"	"Nova Cantu"	"7.234"	"0,558"	"0,35"	"0,70"	"82,80"	"446,81"	"3.347.764,32"	"2.099"	"107"	"0,7209"	"76.350,909"	4.15	"55,27"
"234"	"Nova Esperança"	"26.684"	"0,628"	"0,48"	"0,71"	"91,19"	"719,26"	"6.923.611,71"	"6.726"	"290"	"0,6638"	"383.329,082"	4.65	"91,39"
"235"	"Nova Esperança do Sudoeste"	"5.086"	"0,633"	"0,39"	"0,80"	"90,84"	"678,29"	"5.043.023,98"	"1.225"	"80"	"0,6208"	"57.212,983"	5.1	"34,21"
"236"	"Nova Fátima"	"8.135"	"0,584"	"0,38"	"0,72"	"86,38"	"555,20"	"2.611.193,68"	"1.903"	"103"	"0,5605"	"85.004,340"	4.5	"81,12"
"237"	"Nova Laranjeiras"	"11.206"	"0,517"	"0,30"	"0,66"	"87,63"	"366,26"	"4.151.963,87"	"3.158"	"167"	"0,4588"	"86.392,054"	4.8	"21,10"
"238"	"Nova Londrina"	"13.060"	"0,691"	"0,51"	"0,79"	"91,47"	"777,47"	"3.779.805,80"	"3.598"	"181"	"0,7733"	"168.287,817"	5	"91,94"
"239"	"Nova Olímpia"	"5.521"	"0,631"	"0,43"	"0,76"	"86,75"	"619,47"	"2.004.346,89"	"1.344"	"66"	"0,7839"	"40.305,217"	5.75	"85,14"
"240"	"Nova Prata do Iguaçu"	"10.376"	"0,646"	"0,43"	"0,78"	"89,81"	"668,06"	"4.320.929,32"	"2.485"	"122"	"0,6648"	"136.843,016"	4.9	"58,47"
"241"	"Nova Santa Bárbara"	"3.931"	"0,588"	"0,39"	"0,72"	"83,59"	"511,42"	"2.210.085,44"	"1.036"	"65"	"0,5059"	"34.019,308"	4.9	"83,90"
"242"	"Nova Santa Rosa"	"7.665"	"0,660"	"0,46"	"0,78"	"96,80"	"758,84"	"2.725.131,59"	"1.617"	"85"	"0,7632"	"142.114,714"	5.05	"69,70"
"243"	"Nova Tebas"	"7.239"	"0,553"	"0,32"	"0,72"	"81,82"	"408,22"	"4.008.248,74"	"2.035"	"131"	"0,6947"	"50.695,198"	4.35	"39,08"
"244"	"Novo Itacolomi"	"2.825"	"0,633"	"0,45"	"0,74"	"89,65"	"553,56"	"1.333.516,30"	"612"	"40"	"0,8329"	"29.528,420"	5.4	"56,17"
"245"	"Ortigueira"	"23.240"	"0,441"	"0,25"	"0,57"	"81,67"	"408,86"	"9.102.316,91"	"6.337"	"286"	"0,4352"	"247.676,770"	4.25	"41,01"
"246"	"Ourizona"	"3.379"	"0,644"	"0,45"	"0,76"	"90,98"	"709,99"	"1.345.322,24"	"707"	"39"	"0,7357"	"49.473,468"	4.45	"90,06"
"247"	"Ouro Verde do Oeste"	"5.709"	"0,634"	"0,42"	"0,77"	"89,93"	"578,86"	"2.557.328,53"	"1.309"	"71"	"0,6011"	"77.631,320"	5.05	"70,96"
"248"	"Paiçandu"	"36.333"	"0,632"	"0,47"	"0,72"	"92,40"	"610,64"	"10.037.511,28"	"8.801"	"367"	"0,6755"	"233.171,639"	4.4	"98,63"
"249"	"Palmas"	"43.508"	"0,505"	"0,41"	"0,55"	"90,69"	"575,55"	"16.739.600,18"	"12.909"	"579"	"0,3728"	"510.692,441"	3.8	"92,79"
"250"	"Palmeira"	"32.232"	"0,618"	"0,47"	"0,70"	"95,77"	"729,05"	"11.711.555,77"	"8.607"	"410"	"0,6633"	"565.016,757"	4.9	"60,32"
"251"	"Palmital"	"14.699"	"0,511"	"0,35"	"0,61"	"85,64"	"447,15"	"5.546.873,43"	"4.384"	"210"	"0,4642"	"106.667,050"	4.1	"49,77"
"252"	"Palotina"	"28.907"	"0,689"	"0,56"	"0,75"	"94,18"	"904,85"	"9.189.958,00"	"7.389"	"382"	"0,7569"	"798.830,381"	5.2	"85,93"
"253"	"Paraíso do Norte"	"11.929"	"0,668"	"0,50"	"0,76"	"90,84"	"864,18"	"3.941.462,92"	"3.309"	"156"	"0,7261"	"116.390,542"	4.8	"94,28"
"254"	"Paranacity"	"10.338"	"0,638"	"0,48"	"0,73"	"89,15"	"582,06"	"3.601.536,45"	"2.772"	"107"	"0,6343"	"144.334,565"	4.2	"92,38"
"255"	"Paranaguá"	"141.477"	"0,676"	"0,59"	"0,72"	"96,12"	"765,85"	"56.316.440,32"	"41.940"	"1.659"	"0,5820"	"4.068.127,853"	3.9	"96,38"
"256"	"Paranapoema"	"2.822"	"0,629"	"0,45"	"0,73"	"86,82"	"549,69"	"1.325.377,28"	"769"	"39"	"0,5311"	"32.611,466"	4.25	"89,57"
"257"	"Paranavaí"	"82.039"	"0,703"	"0,57"	"0,77"	"93,00"	"852,66"	"20.908.044,82"	"21.324"	"844"	"0,7652"	"1.101.756,866"	5.25	"95,27"
"258"	"Pato Bragado"	"4.882"	"0,694"	"0,51"	"0,80"	"96,20"	"824,97"	"3.054.447,66"	"1.216"	"77"	"0,8219"	"66.143,353"	5.2	"62,07"
"259"	"Pato Branco"	"73.148"	"0,728"	"0,62"	"0,78"	"95,67"	"1.013,22"	"24.724.492,86"	"20.780"	"963"	"0,8104"	"1.573.927,407"	5.2	"94,09"
"260"	"Paula Freitas"	"5.463"	"0,622"	"0,41"	"0,75"	"94,75"	"621,46"	"5.371.102,11"	"1.225"	"81"	"0,6903"	"133.145,523"	5.15	"50,57"
"261"	"Paulo Frontin"	"6.940"	"0,639"	"0,41"	"0,79"	"96,31"	"579,76"	"2.998.237,69"	"1.519"	"88"	"0,7542"	"129.498,991"	5.5	"31,43"
"262"	"Peabiru"	"13.635"	"0,629"	"0,47"	"0,72"	"89,58"	"737,63"	"4.599.260,38"	"3.370"	"172"	"0,6228"	"133.493,341"	4.85	"80,81"
"263"	"Perobal"	"5.681"	"0,638"	"0,43"	"0,77"	"87,74"	"565,43"	"2.144.034,07"	"1.483"	"70"	"0,7322"	"82.327,866"	4.65	"54,48"
"264"	"Pérola"	"10.280"	"0,607"	"0,42"	"0,72"	"91,32"	"637,59"	"2.661.783,04"	"2.230"	"111"	"0,6781"	"217.256,628"	4.9	"79,06"
"265"	"Pérola d'Oeste"	"6.716"	"0,679"	"0,43"	"0,84"	"90,27"	"613,32"	"2.260.992,67"	"1.638"	"91"	"0,6805"	"78.092,209"	5.15	"47,14"
"266"	"Piên"	"11.347"	"0,616"	"0,41"	"0,75"	"95,79"	"541,67"	"4.879.509,84"	"3.127"	"146"	"0,6322"	"415.232,188"	4.5	"40,25"
"267"	"Pinhais"	"118.334"	"0,666"	"0,60"	"0,70"	"96,65"	"911,51"	"42.123.393,19"	"31.983"	"1.198"	"0,6217"	"3.834.700,612"	4.5	"100,00"
"268"	"Pinhal de São Bento"	"2.630"	"0,626"	"0,36"	"0,82"	"91,15"	"514,89"	"1.551.308,80"	"1.007"	"60"	"0,7036"	"25.736,861"	4.65	"44,42"
"269"	"Pinhalão"	"6.215"	"0,601"	"0,44"	"0,70"	"88,36"	"545,95"	"2.071.948,52"	"1.756"	"102"	"0,6126"	"69.577,570"	4.9	"63,14"
"270"	"Pinhão"	"30.347"	"0,534"	"0,38"	"0,63"	"87,72"	"454,31"	"14.185.012,16"	"9.351"	"451"	"0,4317"	"737.356,021"	4.05	"50,71"
"271"	"Piraí do Sul"	"23.561"	"0,619"	"0,46"	"0,71"	"93,31"	"631,84"	"8.319.506,40"	"6.295"	"228"	"0,5510"	"354.971,690"	4.3	"68,74"
"272"	"Piraquara"	"94.518"	"0,574"	"0,50"	"0,61"	"95,00"	"581,74"	"30.255.184,76"	"24.754"	"886"	"0,3813"	"631.587,600"	4.05	"49,07"
"273"	"Pitanga"	"32.391"	"0,621"	"0,44"	"0,73"	"89,51"	"609,77"	"10.760.333,60"	"9.490"	"438"	"0,6750"	"351.704,428"	4.8	"63,09"
"274"	"Pitangueiras"	"2.845"	"0,634"	"0,43"	"0,76"	"87,76"	"518,34"	"1.610.240,70"	"761"	"48"	"0,7490"	"43.739,339"	4.75	"72,49"
"275"	"Planaltina do Paraná"	"4.103"	"0,646"	"0,44"	"0,78"	"86,88"	"556,04"	"1.800.541,41"	"1.137"	"58"	"0,5920"	"44.685,405"	4.3	"67,72"
"276"	"Planalto"	"13.619"	"0,636"	"0,39"	"0,80"	"90,60"	"641,16"	"4.357.429,52"	"2.885"	"148"	"0,7579"	"152.864,470"	5.6	"44,44"
"277"	"Ponta Grossa"	"314.518"	"0,703"	"0,61"	"0,75"	"96,33"	"877,10"	"86.003.302,42"	"84.896"	"2.986"	"0,7077"	"6.698.733,460"	5	"97,79"
"278"	"Pontal do Paraná"	"21.427"	"0,655"	"0,55"	"0,71"	"95,17"	"782,87"	"9.828.323,67"	"5.953"	"246"	"0,6205"	"196.368,702"	4.45	"99,15"
"279"	"Porecatu"	"14.060"	"0,661"	"0,52"	"0,74"	"90,58"	"742,25"	"5.398.932,62"	"4.159"	"236"	"0,7021"	"353.032,492"	3.6	"80,64"
"280"	"Porto Amazonas"	"4.536"	"0,595"	"0,47"	"0,66"	"93,53"	"655,76"	"2.105.955,99"	"1.286"	"78"	"0,4445"	"65.811,244"	4.25	"65,31"
"281"	"Porto Barreiro"	"3.622"	"0,588"	"0,35"	"0,76"	"89,61"	"535,40"	"2.194.686,16"	"947"	"62"	"0,5496"	"45.444,652"	4.75	"18,86"
"282"	"Porto Rico"	"2.529"	"0,680"	"0,50"	"0,79"	"87,39"	"590,58"	"1.263.902,15"	"677"	"31"	"0,7232"	"27.219,960"	4.1	"69,72"
"283"	"Porto Vitória"	"4.018"	"0,600"	"0,39"	"0,74"	"93,96"	"531,11"	"2.017.753,83"	"967"	"39"	"0,7407"	"36.646,360"	4.5	"55,60"
"284"	"Prado Ferreira"	"3.456"	"0,593"	"0,39"	"0,73"	"87,48"	"652,38"	"1.416.726,67"	"842"	"48"	"0,4324"	"50.018,062"	3.9	"87,80"
"285"	"Pranchita"	"5.580"	"0,696"	"0,47"	"0,84"	"90,55"	"815,60"	"2.225.715,41"	"1.453"	"105"	"0,7121"	"91.331,926"	5	"64,05"
"286"	"Presidente Castelo Branco"	"4.821"	"0,608"	"0,44"	"0,71"	"87,57"	"603,83"	"1.862.315,33"	"1.142"	"65"	"0,7458"	"56.294,129"	4.35	"87,73"
"287"	"Primeiro de Maio"	"10.840"	"0,599"	"0,42"	"0,71"	"89,52"	"604,96"	"3.643.771,53"	"2.357"	"147"	"0,5709"	"142.124,331"	4.05	"93,09"
"288"	"Prudentópolis"	"48.933"	"0,577"	"0,36"	"0,72"	"92,10"	"497,84"	"15.382.962,89"	"12.278"	"521"	"0,6424"	"506.247,898"	4.8	"46,04"
"289"	"Quarto Centenário"	"4.820"	"0,603"	"0,38"	"0,75"	"87,24"	"723,41"	"2.324.701,31"	"1.312"	"68"	"0,5193"	"90.571,831"	4.7	"59,97"
"290"	"Quatiguá"	"7.069"	"0,655"	"0,43"	"0,80"	"91,54"	"590,85"	"2.875.740,57"	"1.562"	"74"	"0,7404"	"74.990,107"	6.05	"90,45"
